-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,168,169,170,-1,-1,-1,-1,-1,-1,-1,168,170,-1,-1,-1
-1,-1,-1,168,169,228,225,227,170,168,169,170,-1,-1,168,228,227,170,-1,-1
-1,168,169,228,225,225,225,225,227,228,225,227,169,169,228,225,225,227,169,170
168,228,225,225,225,225,225,225,225,225,225,225,171,281,281,172,225,171,281,282
280,172,225,225,225,225,225,225,225,225,225,171,282,-1,-1,280,281,282,-1,-1
-1,280,172,225,225,225,225,225,225,225,171,282,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,280,281,172,225,225,225,171,281,282,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,280,281,281,281,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
